Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;257.7796;2.98748560346802;335.999;2.80295536491605;344.494081632653;3.84157602813629;336.7206;2.02000953833373;0.303435182613364;0.336390007714548;0.306234473170104;328.22;9.7520577349395;97.1;3.87348226751788;39.96;1.24072652324736;110.08;4.85154949047318;-0.704161842666504;-0.878252391688502;-0.66461519712388
crypto.rsa;458.5054;5.40948110590607;485.713;26.2924545959412;562.402;8.3433073373906;540.2284;6.7097869368757;0.0593397591391507;0.226598421741598;0.178237813556831;333.04;14.4675700274674;186.14;19.5167754207118;73.14;2.81926391084061;93.12;3.79454444068187;-0.441088157578669;-0.780386740331492;-0.720393946673072
derby;231.5868;4.06826689765015;228.3046;5.22440005165608;235.242;6.03245949428135;252.3174;5.60710234331069;-0.014172655781763;0.0157832829850404;0.0895154646119721;542.82;9.96910209560483;459.94;8.55011695315171;291.18;6.12735597692836;280.16;5.25238320096718;-0.152684131019491;-0.463579086990163;-0.483880476032571
serial;106.9884;2.82276547633904;113.5098;4.05967243449315;120.6568;4.1430847736608;120.0498;3.97721411697224;0.0609542716780511;0.12775590624778;0.12208239397916;292.1;7.54305346405195;126.04;3.47016333112344;134.88;3.88766509896428;139.48;4.49990819136632;-0.568503937007874;-0.53824032865457;-0.522492297158507
sunflow;72.215;0.76190728117352;76.8284;1.84177456800018;75.7776;0.908040255177278;77.2916;1.04769520186096;0.0638842345773039;0.0493332410164096;0.0702984144568307;334.74;23.5487061248229;110.42;11.1527700057544;46.96;4.47699477164957;62.68;5.51133605746959;-0.670132042779471;-0.859712015295453;-0.812750194180558
sor.large;82.3036;0.229426448563037;66.9672;4.90072645464724;74.1436;4.22757387975124;71.692;4.44967613034695;-0.186339358181173;-0.0991451163740105;-0.128932391778731;245.6;10.1588156708669;70.1;4.57578731618981;47.42;3.29436773599062;81.88;3.27406618852586;-0.71457654723127;-0.806921824104234;-0.666612377850163
sor.small;367.6094;2.47631150971601;369.8914;6.99580674252177;374.7764;1.75010896716558;373.7436;0.883725071630918;0.00620767586465443;0.0194962370385526;0.0166867332554609;233.56;9.60300137116312;47.0612244897959;2.99387756232947;44.22;8.69025584209352;68.86;1.68281097590325;-0.79850477611836;-0.810669635211509;-0.705172118513444
sparse.large;60.3452;3.96126412159263;45.9122;2.15992672597476;50.6738;2.79109016282788;49.712;2.64639463626583;-0.239173952526464;-0.160267925203662;-0.176206226841572;252.4;10.0532882777058;68.14;2.66229677524223;54.74;1.90671847185146;97.6;3.38464894656273;-0.730031695721078;-0.783122028526149;-0.613312202852615
sparse.small;320.9834;4.62043328571266;347.1806;2.75295267045093;321.08;1.76817807024066;320.4626;1.96522584243584;0.0816154355645805;0.00030095014259294;-0.00162251381224061;282.4;10.0865169679816;93.32;13.8492012683687;78.72;8.88398327552253;115.44;5.72299885413749;-0.669546742209632;-0.721246458923513;-0.591218130311615
monte\_carlo;207.142;3.92815430965145;256.9808;4.7543072423521;247.1872;6.27728341967872;237.9826;4.33712753390195;0.240602099043168;0.1933224551274;0.148886271253536;221.32;7.82412228670028;42.44;3.25615484422787;31.1428571428571;2.44711061190691;58.5714285714286;2.69257503561256;-0.808241460328935;-0.859285843381271;-0.735354109111564
